date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:21	172/172	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Mar%202023%2007:26:21%20GMT	https://usehyphen.com/robots.txt		(from )
09:26:22	82419/82419	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Mar%202023%2007:26:22%20GMT	https://usehyphen.com/	E:/cs/cs/usehyphen.com/index.html	(from )
09:26:22	925/925	---M--	200	added ('OK')	image/png	etag:%2263b89114-39d%22	https://usehyphen.com/icons/apple-touch-icon.png	E:/cs/cs/usehyphen.com/icons/apple-touch-icon.png	(from https://usehyphen.com/)
09:26:22	569/569	---M--	200	added ('OK')	image/png	etag:%2263b89114-239%22	https://usehyphen.com/icons/favicon-32x32.png	E:/cs/cs/usehyphen.com/icons/favicon-32x32.png	(from https://usehyphen.com/)
09:26:23	534/534	---M--	200	added ('OK')	image/png	etag:%2263b89114-216%22	https://usehyphen.com/icons/favicon-16x16.png	E:/cs/cs/usehyphen.com/icons/favicon-16x16.png	(from https://usehyphen.com/)
09:26:23	444/444	---MCZ	200	added ('OK')	application/json	etag:W/%221bc-5f19f03c23ba8%22	https://usehyphen.com/manifest.json	E:/cs/cs/usehyphen.com/manifest.json	(from https://usehyphen.com/)
09:26:23	1040/1040	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263b89114-410%22	https://usehyphen.com/icons/safari-pinned-tab.svg	E:/cs/cs/usehyphen.com/icons/safari-pinned-tab.svg	(from https://usehyphen.com/)
09:26:23	7406/7406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263b89114-1cee%22	https://usehyphen.com/favicon.ico	E:/cs/cs/usehyphen.com/favicon.ico	(from https://usehyphen.com/)
09:26:24	251/251	---M-Z	200	added ('OK')	application/xml	etag:%22fb-5f19f03c1dde8-gzip%22	https://usehyphen.com/browserconfig.xml	E:/cs/cs/usehyphen.com/browserconfig.xml	(from https://usehyphen.com/)
09:26:24	51052/51052	---MCZ	200	added ('OK')	application/json	etag:W/%22c76c-5f19f03c23ba8%22	https://usehyphen.com/lottie/site-intro.min.json	E:/cs/cs/usehyphen.com/lottie/site-intro.min.json	(from https://usehyphen.com/)
09:26:24	34556/34556	---M--	200	added ('OK')	application/font-woff2	etag:%2263b89114-86fc%22	https://usehyphen.com/fonts/RoobertGX.woff2	E:/cs/cs/usehyphen.com/fonts/RoobertGX.woff2	(from https://usehyphen.com/)
09:26:25	40216/40216	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2263b89114-9d18%22	https://usehyphen.com/fonts/RoobertGX.woff	E:/cs/cs/usehyphen.com/fonts/RoobertGX.woff	(from https://usehyphen.com/)
09:26:25	243/243	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263b89114-f3%22	https://usehyphen.com/images/ui/icon-arrow-down-base-0.svg	E:/cs/cs/usehyphen.com/images/ui/icon-arrow-down-base-0.svg	(from https://usehyphen.com/)
09:26:25	61374/61374	---MCZ	200	added ('OK')	text/css	etag:W/%2263b89114-efbe%22	https://usehyphen.com/css/site.css?id=9791a6218ec110441184	E:/cs/cs/usehyphen.com/css/siteb9c1.css	(from https://usehyphen.com/)
09:26:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2013%20Mar%202023%2007:26:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/cs/cs/www.googletagmanager.com/gtm.c5445.delayed	(from https://usehyphen.com/)
